customer_id,article_id,final_score,similarity_score,popularity_score
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,539723005,690.3,24,2245
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,399223001,575.4,27,1855
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,692454002,524.0,26,1686
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,573716012,481.0,31,1531
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,685687004,450.2999999999999,51,1382
000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,539723005,674.2,1,2245
000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,399223001,557.9,2,1855
000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,692454002,509.99999999999994,6,1686
000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,573716012,460.0,1,1531
000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,610776002,422.7,0,1409
00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,539723005,719.0,65,2245
00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,685687002,718.5999999999999,484,1266
00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,692454002,569.5,91,1686
00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,562245001,470.5,76,1391
00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,637673005,459.5,71,1366
00009c2aeae8761f738e4f937d9be6b49861a66339c2b1c3b1cc6e322729a370,539723005,673.5,0,2245
00009c2aeae8761f738e4f937d9be6b49861a66339c2b1c3b1cc6e322729a370,399223001,556.5,0,1855
00009c2aeae8761f738e4f937d9be6b49861a66339c2b1c3b1cc6e322729a370,692454002,505.7999999999999,0,1686
00009c2aeae8761f738e4f937d9be6b49861a66339c2b1c3b1cc6e322729a370,573716012,459.3,0,1531
00009c2aeae8761f738e4f937d9be6b49861a66339c2b1c3b1cc6e322729a370,610776002,422.7,0,1409
00009d946eec3ea54add5ba56d5210ea898def4b46c68570cf0096d962cacc75,539723005,762.4,127,2245
00009d946eec3ea54add5ba56d5210ea898def4b46c68570cf0096d962cacc75,399223001,578.9,32,1855
00009d946eec3ea54add5ba56d5210ea898def4b46c68570cf0096d962cacc75,692454002,514.1999999999999,12,1686
00009d946eec3ea54add5ba56d5210ea898def4b46c68570cf0096d962cacc75,573716012,469.8,15,1531
00009d946eec3ea54add5ba56d5210ea898def4b46c68570cf0096d962cacc75,610776002,435.3,18,1409
0000f1c71aafe5963c3d195cf273f7bfd50bbf17761c9199e53dbb81641becd7,539723005,673.5,0,2245
0000f1c71aafe5963c3d195cf273f7bfd50bbf17761c9199e53dbb81641becd7,399223001,557.2,1,1855
0000f1c71aafe5963c3d195cf273f7bfd50bbf17761c9199e53dbb81641becd7,692454002,505.7999999999999,0,1686
0000f1c71aafe5963c3d195cf273f7bfd50bbf17761c9199e53dbb81641becd7,573716012,459.3,0,1531
0000f1c71aafe5963c3d195cf273f7bfd50bbf17761c9199e53dbb81641becd7,610776002,422.7,0,1409
0000f2ea26b7f0a9175f428c8cf7743e9e10e193465ecdfa486d5f3bf019d330,539723005,681.9,12,2245
0000f2ea26b7f0a9175f428c8cf7743e9e10e193465ecdfa486d5f3bf019d330,399223001,564.2,11,1855
0000f2ea26b7f0a9175f428c8cf7743e9e10e193465ecdfa486d5f3bf019d330,692454002,521.9,23,1686
0000f2ea26b7f0a9175f428c8cf7743e9e10e193465ecdfa486d5f3bf019d330,573716012,504.1,64,1531
0000f2ea26b7f0a9175f428c8cf7743e9e10e193465ecdfa486d5f3bf019d330,610776002,432.5,14,1409
00015c1a121e08bbd2552c15fbbb6e6b19d3bf8f7b6a3d60c6d7be26f06264d6,539723005,677.0,5,2245
00015c1a121e08bbd2552c15fbbb6e6b19d3bf8f7b6a3d60c6d7be26f06264d6,399223001,560.7,6,1855
00015c1a121e08bbd2552c15fbbb6e6b19d3bf8f7b6a3d60c6d7be26f06264d6,692454002,510.69999999999993,7,1686
00015c1a121e08bbd2552c15fbbb6e6b19d3bf8f7b6a3d60c6d7be26f06264d6,573716012,464.9,8,1531
00015c1a121e08bbd2552c15fbbb6e6b19d3bf8f7b6a3d60c6d7be26f06264d6,610776002,426.2,5,1409
00018385675844f7a6babbed41b5655b5727fb16483b6ea51d5798a6ab947344,539723005,674.2,1,2245
00018385675844f7a6babbed41b5655b5727fb16483b6ea51d5798a6ab947344,399223001,556.5,0,1855
00018385675844f7a6babbed41b5655b5727fb16483b6ea51d5798a6ab947344,692454002,505.7999999999999,0,1686
00018385675844f7a6babbed41b5655b5727fb16483b6ea51d5798a6ab947344,573716012,459.3,0,1531
00018385675844f7a6babbed41b5655b5727fb16483b6ea51d5798a6ab947344,610776002,422.7,0,1409
0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,539723005,702.9,42,2245
0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,399223001,583.1,38,1855
0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,692454002,559.6999999999999,77,1686
0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,637673005,451.1,59,1366
0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,685687004,444.7,43,1382
0001f8cef6b9702d54abf66fd89eb21014bf98567065a9b5e42f37bc99528cf5,539723005,675.6,3,2245
0001f8cef6b9702d54abf66fd89eb21014bf98567065a9b5e42f37bc99528cf5,399223001,560.0,5,1855
0001f8cef6b9702d54abf66fd89eb21014bf98567065a9b5e42f37bc99528cf5,692454002,506.49999999999994,1,1686
0001f8cef6b9702d54abf66fd89eb21014bf98567065a9b5e42f37bc99528cf5,573716012,460.0,1,1531
0001f8cef6b9702d54abf66fd89eb21014bf98567065a9b5e42f37bc99528cf5,610776002,425.5,4,1409
00022754ec18c5e53757eea8b281632a5c4a499368ecc53a21adfc64a665ba8b,539723005,674.9,2,2245
00022754ec18c5e53757eea8b281632a5c4a499368ecc53a21adfc64a665ba8b,399223001,557.2,1,1855
00022754ec18c5e53757eea8b281632a5c4a499368ecc53a21adfc64a665ba8b,692454002,507.9,3,1686
00022754ec18c5e53757eea8b281632a5c4a499368ecc53a21adfc64a665ba8b,573716012,461.4,3,1531
00022754ec18c5e53757eea8b281632a5c4a499368ecc53a21adfc64a665ba8b,610776002,422.7,0,1409
000253f6914890557a88d0b91288ce85fae9332dac43ee5445c33e3891df6fd3,539723005,676.3,4,2245
000253f6914890557a88d0b91288ce85fae9332dac43ee5445c33e3891df6fd3,399223001,556.5,0,1855
000253f6914890557a88d0b91288ce85fae9332dac43ee5445c33e3891df6fd3,692454002,507.19999999999993,2,1686
000253f6914890557a88d0b91288ce85fae9332dac43ee5445c33e3891df6fd3,573716012,460.0,1,1531
000253f6914890557a88d0b91288ce85fae9332dac43ee5445c33e3891df6fd3,610776002,427.6,7,1409
00025f8226be50dcab09402a2cacd520a99e112fe01fddd1b10ea71270547b26,539723005,695.2,31,2245
00025f8226be50dcab09402a2cacd520a99e112fe01fddd1b10ea71270547b26,399223001,560.7,6,1855
00025f8226be50dcab09402a2cacd520a99e112fe01fddd1b10ea71270547b26,692454002,511.4,8,1686
00025f8226be50dcab09402a2cacd520a99e112fe01fddd1b10ea71270547b26,573716012,464.9,8,1531
00025f8226be50dcab09402a2cacd520a99e112fe01fddd1b10ea71270547b26,610776002,425.5,4,1409
0002b9088196900626214bcdc6d5f3d85f38fb462a480605bd50a03431600dee,539723005,674.9,2,2245
0002b9088196900626214bcdc6d5f3d85f38fb462a480605bd50a03431600dee,399223001,559.3,4,1855
0002b9088196900626214bcdc6d5f3d85f38fb462a480605bd50a03431600dee,692454002,506.49999999999994,1,1686
0002b9088196900626214bcdc6d5f3d85f38fb462a480605bd50a03431600dee,573716012,461.4,3,1531
0002b9088196900626214bcdc6d5f3d85f38fb462a480605bd50a03431600dee,610776002,426.2,5,1409
0002cca4cc68601e894ab62839428e5f0696417fe0f9e84551c6827a7629d441,539723005,673.5,0,2245
0002cca4cc68601e894ab62839428e5f0696417fe0f9e84551c6827a7629d441,399223001,556.5,0,1855
0002cca4cc68601e894ab62839428e5f0696417fe0f9e84551c6827a7629d441,692454002,507.19999999999993,2,1686
0002cca4cc68601e894ab62839428e5f0696417fe0f9e84551c6827a7629d441,573716012,460.0,1,1531
0002cca4cc68601e894ab62839428e5f0696417fe0f9e84551c6827a7629d441,610776002,424.1,2,1409
0002e6cdaab622b5047407efc0d0bf85e23220e092012095d98119fa9cb3cee7,539723005,680.5,10,2245
0002e6cdaab622b5047407efc0d0bf85e23220e092012095d98119fa9cb3cee7,399223001,561.4,7,1855
0002e6cdaab622b5047407efc0d0bf85e23220e092012095d98119fa9cb3cee7,692454002,512.0999999999999,9,1686
0002e6cdaab622b5047407efc0d0bf85e23220e092012095d98119fa9cb3cee7,573716012,462.1,4,1531
0002e6cdaab622b5047407efc0d0bf85e23220e092012095d98119fa9cb3cee7,610776002,424.1,2,1409
00039306476aaf41a07fed942884f16b30abfa83a2a8bea972019098d6406793,610776002,440.9,26,1409
00039306476aaf41a07fed942884f16b30abfa83a2a8bea972019098d6406793,562245001,426.4,13,1391
00039306476aaf41a07fed942884f16b30abfa83a2a8bea972019098d6406793,685687003,422.2,22,1356
00039306476aaf41a07fed942884f16b30abfa83a2a8bea972019098d6406793,685687002,388.2,12,1266
00039306476aaf41a07fed942884f16b30abfa83a2a8bea972019098d6406793,591334003,371.7999999999999,22,1188
0003abe64294e66a6310c3436fa9e5b754cc5603deef4f26fc8ab8d043af9358,539723005,690.3,24,2245
0003abe64294e66a6310c3436fa9e5b754cc5603deef4f26fc8ab8d043af9358,399223001,566.3,14,1855
0003abe64294e66a6310c3436fa9e5b754cc5603deef4f26fc8ab8d043af9358,692454002,507.19999999999993,2,1686
0003abe64294e66a6310c3436fa9e5b754cc5603deef4f26fc8ab8d043af9358,573716012,469.1,14,1531
0003abe64294e66a6310c3436fa9e5b754cc5603deef4f26fc8ab8d043af9358,610776002,436.7,20,1409
0003c98542d16e740156638a7d133d93360d3ff3d0b7ec3ccb78932a915b1cfe,539723005,674.2,1,2245
0003c98542d16e740156638a7d133d93360d3ff3d0b7ec3ccb78932a915b1cfe,399223001,556.5,0,1855
0003c98542d16e740156638a7d133d93360d3ff3d0b7ec3ccb78932a915b1cfe,692454002,507.19999999999993,2,1686
0003c98542d16e740156638a7d133d93360d3ff3d0b7ec3ccb78932a915b1cfe,573716012,460.0,1,1531
0003c98542d16e740156638a7d133d93360d3ff3d0b7ec3ccb78932a915b1cfe,610776002,423.4,1,1409
0003e7b27d3dd2295e609bcc017e96a05f322cd25fdaa717f5d2ed124a762843,539723005,673.5,0,2245
0003e7b27d3dd2295e609bcc017e96a05f322cd25fdaa717f5d2ed124a762843,399223001,557.9,2,1855
0003e7b27d3dd2295e609bcc017e96a05f322cd25fdaa717f5d2ed124a762843,692454002,507.19999999999993,2,1686
0003e7b27d3dd2295e609bcc017e96a05f322cd25fdaa717f5d2ed124a762843,573716012,460.7,2,1531
0003e7b27d3dd2295e609bcc017e96a05f322cd25fdaa717f5d2ed124a762843,610776002,422.7,0,1409
000400dcdcf45d8d1ad1bd63be6fbd79a49167adf0cf28792cb97a53dbad3ff2,539723005,677.0,5,2245
000400dcdcf45d8d1ad1bd63be6fbd79a49167adf0cf28792cb97a53dbad3ff2,399223001,556.5,0,1855
000400dcdcf45d8d1ad1bd63be6fbd79a49167adf0cf28792cb97a53dbad3ff2,692454002,506.49999999999994,1,1686
000400dcdcf45d8d1ad1bd63be6fbd79a49167adf0cf28792cb97a53dbad3ff2,573716012,459.3,0,1531
000400dcdcf45d8d1ad1bd63be6fbd79a49167adf0cf28792cb97a53dbad3ff2,610776002,423.4,1,1409
0004068f54dbe1c7054b23c615edc5f733a508ecc54930bf323209f20410898c,539723005,673.5,0,2245
0004068f54dbe1c7054b23c615edc5f733a508ecc54930bf323209f20410898c,399223001,557.2,1,1855
0004068f54dbe1c7054b23c615edc5f733a508ecc54930bf323209f20410898c,692454002,506.49999999999994,1,1686
0004068f54dbe1c7054b23c615edc5f733a508ecc54930bf323209f20410898c,573716012,460.7,2,1531
0004068f54dbe1c7054b23c615edc5f733a508ecc54930bf323209f20410898c,610776002,422.7,0,1409
000416152a81973bebab23142bd5dd6ebd85c8c5e2d63e18eb6398b71864f219,539723005,674.2,1,2245
000416152a81973bebab23142bd5dd6ebd85c8c5e2d63e18eb6398b71864f219,399223001,557.9,2,1855
000416152a81973bebab23142bd5dd6ebd85c8c5e2d63e18eb6398b71864f219,692454002,505.7999999999999,0,1686
000416152a81973bebab23142bd5dd6ebd85c8c5e2d63e18eb6398b71864f219,573716012,459.3,0,1531
000416152a81973bebab23142bd5dd6ebd85c8c5e2d63e18eb6398b71864f219,610776002,422.7,0,1409
00048f2f68760664d2d0fa1e7fbfe083f05287f342484c29a13661772507ee6b,539723005,673.5,0,2245
00048f2f68760664d2d0fa1e7fbfe083f05287f342484c29a13661772507ee6b,399223001,556.5,0,1855
00048f2f68760664d2d0fa1e7fbfe083f05287f342484c29a13661772507ee6b,692454002,506.49999999999994,1,1686
00048f2f68760664d2d0fa1e7fbfe083f05287f342484c29a13661772507ee6b,573716012,459.3,0,1531
00048f2f68760664d2d0fa1e7fbfe083f05287f342484c29a13661772507ee6b,610776002,422.7,0,1409
